500	100	50
8	579	55
8	787	-154
1	-873	328
8	922	-480
5	348	-240
1	-275	75
2	-132	180
4	-257	-163
6	829	-135
4	-159	89
4	186	84
6	-11	43
9	13	450
9	550	-53
4	-88	471
8	-459	-178
2	695	414
8	-631	106
2	207	-103
4	-173	-265
1	-470	-132
5	566	424
2	-549	-448
5	263	-484
8	792	-436
9	-575	55
1	173	-471
5	895	-492
4	575	-137
2	761	-82
7	507	-316
3	-288	416
4	-24	478
7	925	-215
10	-739	1
4	-167	-128
4	700	-80
7	-108	-403
9	508	-173
1	170	262
5	-270	36
4	-27	180
5	-438	107
5	-718	-253
6	999	343
7	429	240
1	-582	-111
5	-94	-405
5	-488	91
1	625	323
6	-950	-159
9	-895	-427
8	-888	-79
5	414	279
3	549	315
9	185	-480
6	927	-67
4	-784	-229
4	789	-327
1	-698	89
10	-356	-395
8	676	440
2	-739	93
4	291	139
10	-964	-388
4	-79	478
3	807	-127
5	-601	367
2	575	-53
3	-733	-347
9	270	-483
7	-417	409
4	-343	-2
5	-320	167
3	-372	340
7	-440	-24
7	773	316
9	-453	150
1	757	258
5	125	385
7	-31	-285
6	-852	197
8	909	-372
7	-778	372
10	169	147
4	787	-90
2	-988	-427
3	-118	90
6	291	345
6	816	202
6	-875	122
5	-491	-139
6	706	-244
1	706	-111
8	811	-244
5	-958	487
2	-668	-477
5	-59	61
6	814	-437
9	199	-237
9	615	449
6	-152	-321
6	225	99
4	462	282
9	-215	-167
6	456	-9
5	275	371
8	532	-394
1	-861	-37
1	176	-465
4	110	-11
5	-231	-450
2	-437	-393
6	479	-211
3	-755	458
5	-385	482
1	-734	499
9	790	-81
4	-63	-56
6	-858	397
1	554	52
6	594	-460
6	467	495
6	713	-111
10	570	-165
6	178	-4
9	-777	-347
9	-702	150
2	-806	316
6	545	313
10	-364	-176
9	178	-294
5	737	321
2	888	-262
1	-763	365
4	697	-194
10	-279	387
2	478	-346
6	684	460
4	317	108
1	870	-281
6	-984	-438
6	210	182
9	-496	-284
7	-573	-34
3	-593	-87
6	-160	-118
7	-47	-429
6	159	200
10	-579	-338
1	-240	97
3	318	-266
7	-241	-306
6	26	-317
5	465	-417
8	953	293
6	-14	-37
3	51	461
6	734	-162
4	201	315
7	-411	375
1	-476	-69
8	-914	-456
2	-491	-353
1	79	281
9	-709	-160
5	-816	-154
1	-978	286
10	-493	74
10	567	-434
8	-384	109
7	-565	-474
2	-228	-56
4	728	88
9	-310	-31
3	-350	290
3	462	241
10	-939	-463
9	-796	-53
6	-747	-329
9	-19	401
3	219	-307
1	-267	-318
2	6	96
6	577	231
8	-107	-296
3	-313	59
4	-651	357
7	-40	72
10	687	450
9	-664	-76
10	-490	301
7	507	-130
1	239	72
9	-902	16
6	-38	25
9	-554	-365
8	512	-496
10	686	-147
5	941	113
5	132	-57
2	644	143
4	200	-111
5	-705	-275
10	-744	260
9	-59	281
7	933	126
7	-769	227
10	-37	-247
1	489	451
3	-513	-433
2	-497	478
2	-57	74
9	401	451
1	-102	495
5	-778	7
2	-939	124
8	998	-428
6	644	412
10	845	-107
8	576	372
1	119	358
7	889	-189
9	902	458
5	-165	493
8	-557	135
5	893	442
3	765	-321
9	252	313
10	-53	-425
2	-674	-235
8	-848	-284
1	529	-20
7	693	-352
10	-784	-487
3	-818	-128
4	-593	141
8	-214	-493
6	419	-78
1	-472	55
3	758	-434
5	737	171
4	-106	174
5	-235	-98
5	522	172
5	518	203
9	-437	-115
10	82	-394
2	-94	-230
9	-633	124
7	-668	155
4	-556	-142
8	309	63
5	829	-197
1	-291	-334
2	-226	306
6	746	455
5	-372	-207
1	635	-303
2	971	-460
1	-40	137
4	836	292
1	381	-422
4	483	-225
5	-911	-339
6	215	299
1	886	157
10	-245	173
9	547	-244
2	912	455
5	-419	229
2	132	139
8	831	-399
8	-555	98
9	593	-411
9	799	-132
6	-846	22
5	596	234
10	277	438
9	977	-23
3	199	183
5	-32	289
6	-730	271
7	-45	207
8	-152	303
9	-991	-116
6	-322	153
1	-451	-67
6	-429	-268
1	-150	279
5	-399	342
5	324	-459
10	30	356
9	655	-406
9	37	-310
1	-693	-327
3	-337	-228
10	193	-396
3	-842	33
10	-971	-136
4	-692	54
6	-996	-494
5	148	-129
6	-505	199
9	-543	14
1	-77	-69
4	-868	172
10	174	364
3	434	-15
8	787	288
1	-703	-122
2	252	-274
5	-320	-71
6	912	-445
1	35	-91
7	226	13
2	412	416
9	350	-318
5	-162	-91
9	475	-364
7	187	-437
5	-934	-79
5	838	-125
6	625	-201
6	360	413
5	15	-300
9	-878	-52
3	-516	202
8	68	455
3	-456	-36
1	497	216
2	874	445
10	-798	101
2	815	378
5	-2	234
10	-13	81
4	-166	-192
8	734	323
3	-653	197
8	-112	-259
8	799	348
7	510	255
3	-422	247
1	383	-182
7	-504	305
6	164	-301
7	300	336
1	-110	-173
8	570	360
3	291	11
5	490	279
2	929	-184
7	894	189
1	-30	-76
4	324	256
2	-405	38
5	229	-20
3	58	-88
6	-672	-64
10	780	-484
8	-906	-481
10	84	-481
3	-832	-288
6	-7	169
3	-314	-326
7	674	-13
8	-493	115
6	-557	-225
9	211	-288
3	-218	-210
2	778	492
7	477	266
7	-270	482
4	102	116
2	230	309
1	657	-345
7	-544	-227
6	754	-252
7	-632	131
9	-400	289
9	-442	438
5	810	427
3	-204	292
1	-782	118
7	-205	-148
1	-678	407
8	635	-346
7	-761	265
1	-259	229
2	352	-316
10	-65	-480
1	-207	346
2	10	3
9	-17	245
1	-974	-214
6	-573	-220
5	-272	96
5	-481	-413
2	398	-170
4	-779	-317
9	-483	295
7	896	-127
7	574	325
10	-366	-83
3	-558	243
10	963	132
8	-494	229
3	347	407
1	-212	-353
5	484	209
6	-783	-364
6	777	-9
9	-904	266
1	-316	474
9	880	-112
8	-111	-172
5	684	39
4	788	-318
8	-897	471
8	719	-307
4	-228	361
6	-711	-58
2	-966	-358
6	-610	449
4	566	-25
3	-272	294
6	-198	-466
10	534	498
7	-118	326
1	413	141
8	-910	-431
9	754	138
8	-501	336
1	910	-456
4	-85	-461
9	-677	437
8	-921	-380
7	202	281
4	270	483
9	391	-409
8	-606	17
7	137	-464
9	-971	-345
7	-159	-409
3	-288	-18
2	266	190
7	-581	406
6	522	-482
6	-586	-21
5	268	-204
1	482	-413
7	-295	-82
5	406	379
4	983	-357
7	-744	355
6	628	312
2	-496	-406
3	577	-398
9	-110	-297
4	-517	258
1	851	299
5	564	-49
10	554	-3
1	595	171
9	-653	447
4	-750	-134
9	918	-61
2	-603	-371
10	-598	-360
6	-217	-47
7	-27	26
3	-432	-90
5	608	-60
9	188	-145
2	231	401
10	958	173
5	-447	-287
10	-247	-138
2	-243	304
8	-964	-64
3	794	385
10	-265	309
4	102	-113
6	258	341
4	-119	119
2	661	-406
6	-9	119
5	-823	117
5	-436	423
1	-479	-270
9	-368	-231
10	246	195
7	558	-488
9	-148	-463
6	649	112
7	-18	-470
1	825	-58
10	20	-95
